GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo/org.jacoco.core,org.jacoco.core.tools,ExecFileLoader,5,100,1,1,0,30,1,7,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.tools,ExecDumpClient,12,111,0,2,4,38,2,10,2,9
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,URLStreamHandlerRuntime.new URLConnection() {...},4,13,0,0,1,2,1,2,1,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,URLStreamHandlerRuntime.new URLStreamHandler() {...},0,10,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,AbstractRuntime,4,12,0,0,1,4,1,3,1,3
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,ModifiedSystemClassRuntime,16,112,0,0,4,25,1,7,1,7
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,AgentOptions.OutputMode,0,58,0,0,0,5,0,4,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,LoggerRuntime,0,101,0,0,0,28,0,5,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,RuntimeData,15,205,0,4,1,56,0,12,0,10
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,RemoteControlWriter,0,22,0,0,0,8,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,AgentOptions,0,501,0,34,0,108,0,62,0,45
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,ModifiedSystemClassRuntime.new ClassVisitor() {...},0,16,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,ModifiedSystemClassRuntime.new ClassFileTransformer() {...},0,21,0,2,0,4,0,3,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,LoggerRuntime.RuntimeHandler,9,20,1,1,3,4,3,2,2,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,CommandLineSupport,3,216,1,39,2,51,2,24,1,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,OfflineInstrumentationAccessGenerator,0,40,0,0,0,10,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,RemoteControlReader,0,42,0,5,0,15,0,7,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,URLStreamHandlerRuntime,0,129,0,0,0,31,0,5,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,SystemPropertiesRuntime,0,56,0,0,0,13,0,4,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,WildcardMatcher,0,106,0,9,0,21,0,8,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.instr,Instrumenter,12,265,0,15,4,60,0,21,0,12
JaCoCo/org.jacoco.core,org.jacoco.core.instr,Instrumenter.new ClassWriter() {...},4,8,0,0,1,1,1,1,1,1
JaCoCo/org.jacoco.core,org.jacoco.core.data,SessionInfo,0,57,0,6,0,16,0,9,0,6
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionDataStore,0,166,0,12,0,36,0,17,0,11
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionDataReader,0,168,0,20,0,47,0,19,0,8
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionData,0,188,0,14,0,35,0,18,0,11
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionDataWriter,6,101,0,2,2,33,0,8,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.data,SessionInfoStore,0,88,0,6,0,19,0,9,0,6
JaCoCo/org.jacoco.core,org.jacoco.core.data,IncompatibleExecDataVersionException,0,25,0,0,0,5,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,ICoverageNode.ElementType,9,69,0,0,0,7,2,2,2,2
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,CoverageNodeImpl,5,191,1,8,1,46,1,20,0,14
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,ICoverageNode.CounterEntity,5,73,0,0,0,7,1,3,1,3
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,CounterComparator,0,76,0,4,0,15,0,8,0,6
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,CoverageBuilder,0,142,0,14,0,29,0,14,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,NodeComparator,0,46,0,0,0,12,0,4,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,NodeComparator.new NodeComparator() {...},0,30,0,2,0,3,0,3,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,Analyzer,6,304,0,15,2,71,0,22,0,13
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,CoverageNodeImpl.new Object() {...},6,41,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,ICounter.CounterValue,5,63,0,0,0,6,1,3,1,3
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,Analyzer.new ClassAnalyzer() {...},0,21,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core,JaCoCo,3,16,0,0,2,5,1,1,1,1
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,BundleCoverageImpl,0,140,0,12,0,33,0,11,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,StringPool,0,62,0,10,0,17,0,9,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,MethodAnalyzer.Jump,0,9,0,0,0,4,0,1,0,1
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,ClassAnalyzer.new MethodAnalyzer() {...},0,25,0,2,0,6,0,3,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,SourceFileCoverageImpl,0,11,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,CounterImpl.Fix,0,15,0,0,0,3,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,SourceNodeImpl,0,269,0,34,0,56,0,25,0,8
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,ClassCoverageImpl,0,88,0,4,0,28,0,16,0,14
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,CounterImpl.new Object() {...},5,35,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,MethodAnalyzer,6,407,0,38,4,110,2,45,2,26
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,MethodCoverageImpl,0,71,0,4,0,16,0,7,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,LineImpl,0,176,0,22,0,29,0,19,0,8
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,LineImpl.Fix,0,20,0,0,0,3,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,CounterImpl,5,218,1,23,1,42,1,28,0,15
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,ClassAnalyzer,0,99,0,6,0,19,0,10,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,LineImpl.Var,0,20,0,0,0,5,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,CounterImpl.Var,0,19,0,0,0,5,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.analysis,PackageCoverageImpl,0,37,0,4,0,10,0,5,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.internal,Java9Support,7,97,1,7,3,21,2,10,1,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal,Pack200Streams,3,37,0,0,2,8,1,2,1,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal,ContentTypeDetector,0,76,0,10,0,20,0,11,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.internal,Pack200Streams.NoCloseInput,0,5,0,0,0,3,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,ClassProbesVisitor,0,9,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,MethodProbesAdapter,0,230,0,27,0,56,0,25,0,11
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,Instruction,0,51,0,4,0,17,0,9,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,FrameSnapshot,0,97,0,12,0,22,0,11,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,LabelFlowAnalyzer,0,220,0,19,0,81,0,31,0,21
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,ClassProbesAdapter,0,75,0,2,0,18,0,7,0,6
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,MethodProbesVisitor,0,14,0,0,0,9,0,7,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,MethodSanitizer,0,33,0,6,0,8,0,6,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,ClassProbesAdapter.new MethodSanitizer() {...},0,56,0,2,0,11,0,3,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,ClassProbesAdapter.new MethodProbesVisitor() {...},0,3,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.core,org.jacoco.core.internal.flow,LabelInfo,0,223,0,36,0,60,0,38,0,20
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,NoneProbeArrayStrategy,0,8,0,0,0,3,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,InstrSupport,3,60,0,16,2,11,1,10,1,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,ClassInstrumenter,0,76,0,2,0,17,0,6,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,ProbeCounter,0,32,0,4,0,11,0,7,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,LocalProbeArrayStrategy,0,33,0,0,0,10,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,ProbeArrayStrategyFactory,3,89,0,12,2,17,1,10,1,4
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,SignatureRemover,0,87,0,16,0,24,0,15,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,MethodInstrumenter,0,256,0,31,0,76,0,34,0,11
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,DuplicateFrameEliminator,0,148,0,2,0,46,0,16,0,15
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,ClassFieldProbeArrayStrategy,0,142,0,2,0,35,0,8,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,ProbeInserter,0,211,0,20,0,49,0,19,0,9
JaCoCo/org.jacoco.core,org.jacoco.core.internal.instr,InterfaceFieldProbeArrayStrategy,0,201,1,3,0,48,1,8,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.internal.data,CRC64,3,77,0,8,2,14,1,6,1,2
JaCoCo/org.jacoco.core,org.jacoco.core.internal.data,CompactDataInput,0,61,0,8,0,14,0,7,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.internal.data,CompactDataOutput,0,74,0,10,0,20,0,8,0,3
JaCoCo/org.jacoco.report,org.jacoco.report.internal.xml,XMLDocument,0,77,0,4,0,15,0,6,0,4
JaCoCo/org.jacoco.report,org.jacoco.report.internal.xml,XMLElement,0,253,0,29,0,71,0,27,0,11
JaCoCo/org.jacoco.report,org.jacoco.report.internal.xml,XMLCoverageWriter,3,229,2,16,2,50,3,16,1,9
JaCoCo/org.jacoco.report,org.jacoco.report.internal.xml,XMLGroupVisitor,0,38,0,0,0,11,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.html,HTMLFormatter,0,188,0,2,0,43,0,17,0,16
JaCoCo/org.jacoco.report,org.jacoco.report.html,HTMLFormatter.new IReportVisitor() {...},0,89,0,2,0,18,0,7,0,6
JaCoCo/org.jacoco.report,org.jacoco.report.csv,CSVGroupHandler,0,79,0,6,0,15,0,8,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.csv,DelimitedWriter,0,131,0,10,0,31,0,15,0,10
JaCoCo/org.jacoco.report,org.jacoco.report.csv,ClassRowWriter,0,157,0,4,0,22,0,6,0,4
JaCoCo/org.jacoco.report,org.jacoco.report.csv,CSVFormatter,0,46,0,0,0,11,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.csv,CSVFormatter.new IReportVisitor() {...},0,18,0,0,0,6,0,3,0,3
JaCoCo/org.jacoco.report,org.jacoco.report,MultiSourceFileLocator,0,43,0,4,0,13,0,6,0,4
JaCoCo/org.jacoco.report,org.jacoco.report,ZipMultiReportOutput,0,42,0,2,0,13,0,5,0,4
JaCoCo/org.jacoco.report,org.jacoco.report,FileMultiReportOutput,0,43,0,2,0,10,0,4,0,3
JaCoCo/org.jacoco.report,org.jacoco.report,DirectorySourceFileLocator,0,25,0,2,0,7,0,3,0,2
JaCoCo/org.jacoco.report,org.jacoco.report,JavaNames,0,262,0,34,0,54,0,27,0,10
JaCoCo/org.jacoco.report,org.jacoco.report,MultiReportVisitor,0,39,0,4,0,9,0,5,0,3
JaCoCo/org.jacoco.report,org.jacoco.report,InputStreamSourceFileLocator,0,52,0,6,0,13,0,6,0,3
JaCoCo/org.jacoco.report,org.jacoco.report,ZipMultiReportOutput.EntryOutput,0,62,0,4,0,21,0,9,0,7
JaCoCo/org.jacoco.report,org.jacoco.report,MultiGroupVisitor,0,50,0,4,0,10,0,5,0,3
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.index,ElementIndex,0,29,0,0,0,7,0,3,0,3
JaCoCo/org.jacoco.report,org.jacoco.report.xml,XMLFormatter,0,28,0,0,0,6,0,3,0,3
JaCoCo/org.jacoco.report,org.jacoco.report.xml,XMLFormatter.new IReportVisitor() {...},0,80,0,2,0,20,0,7,0,6
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html,HTMLGroupVisitor,0,69,0,0,0,15,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html,HTMLDocument,0,48,0,0,0,11,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html,HTMLElement,0,257,0,2,0,71,0,27,0,26
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,PercentageColumn,0,66,0,2,0,18,0,8,0,7
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,SortIndex.Entry,0,21,0,0,0,5,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,BarColumn,0,134,0,8,0,27,0,10,0,6
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,CounterColumn,0,98,0,4,0,20,0,11,0,9
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,SortIndex,0,83,0,8,0,18,0,7,0,3
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,CounterColumn.new CounterColumn() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,CounterColumn.new CounterColumn() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,CounterColumn.new CounterColumn() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,TableItemComparator,0,14,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,Table,0,169,0,14,0,38,0,14,0,7
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,LabelColumn.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,LabelColumn,0,23,0,0,0,8,0,6,0,6
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.table,Table.Column,0,130,0,8,0,24,0,8,0,4
JaCoCo/org.jacoco.report,org.jacoco.report.internal,ReportOutputFolder,0,144,0,10,0,26,0,12,0,7
JaCoCo/org.jacoco.report,org.jacoco.report.internal,AbstractGroupVisitor,0,52,0,2,0,18,0,6,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal,NormalizedFileNames,0,145,0,12,0,32,0,11,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,SourceHighlighter,0,167,0,10,0,36,0,13,0,6
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,ClassPage,0,109,0,4,0,16,0,7,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,BundlePage,2,70,1,3,0,18,1,6,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,SessionsPage,0,240,0,10,0,50,0,12,0,7
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,SourceFileItem,0,17,0,0,0,7,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,SessionsPage.new Comparator() {...},0,21,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,SourceFilePage,0,81,0,0,0,14,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,ReportPage,0,204,0,4,0,45,0,13,0,11
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,NodePage,0,26,0,2,0,8,0,5,0,4
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,TablePage,0,50,0,0,0,11,0,4,0,4
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,MethodItem,0,50,0,4,0,13,0,7,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,PackagePage,0,108,0,8,0,24,0,11,0,7
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,GroupPage,0,11,0,0,0,4,0,3,0,3
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.page,PackageSourcePage,0,122,0,4,0,28,0,10,0,8
JaCoCo/org.jacoco.report,org.jacoco.report.check,Rule,0,82,0,4,0,24,0,13,0,11
JaCoCo/org.jacoco.report,org.jacoco.report.check,BundleChecker,0,342,0,46,0,61,0,33,0,8
JaCoCo/org.jacoco.report,org.jacoco.report.check,RulesChecker.new IReportVisitor() {...},0,18,0,0,0,6,0,5,0,5
JaCoCo/org.jacoco.report,org.jacoco.report.check,BundleChecker.new Object() {...},5,35,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.report,org.jacoco.report.check,RulesChecker,0,36,0,0,0,10,0,4,0,4
JaCoCo/org.jacoco.report,org.jacoco.report.check,Limit,0,224,0,18,0,43,0,21,0,12
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.resources,Resources.new Object() {...},6,41,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.resources,Styles,3,41,0,8,2,7,1,5,1,1
JaCoCo/org.jacoco.report,org.jacoco.report.internal.html.resources,Resources,12,122,1,8,1,40,1,11,0,5
JaCoCo/org.jacoco.agent,org.jacoco.agent,AgentJar,14,80,2,6,5,25,3,8,1,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,ClassFileDumper,0,82,0,6,0,19,0,5,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,CoverageTransformer,6,162,0,26,1,38,0,19,0,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,Agent,43,166,5,12,14,49,5,19,2,12
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,Agent.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,IExceptionLogger,5,0,0,0,1,0,1,0,1,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,Agent.new Object() {...},4,29,0,0,0,1,0,1,0,1
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,Offline,23,0,0,0,6,0,3,0,3,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,ConfigLoader,9,129,0,12,4,32,1,11,1,5
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,PreMain,31,0,0,0,9,0,3,0,3,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,IExceptionLogger.new IExceptionLogger() {...},6,0,0,0,3,0,2,0,2,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal,JmxRegistration,0,30,0,0,0,7,0,2,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,RT,5,0,0,0,3,0,2,0,2,0
JaCoCo/org.jacoco.agent.rt,com.vladium.emma.rt,RT,28,0,0,0,9,0,3,0,3,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,TcpClientOutput.new Runnable() {...},0,18,0,0,0,6,0,2,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,TcpServerOutput.new Runnable() {...},0,63,0,4,0,12,0,4,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,TcpClientOutput,8,55,0,0,1,16,1,4,1,4
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,FileOutput,5,64,1,1,0,19,1,5,0,5
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,TcpConnection,3,97,3,11,1,28,3,10,0,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,NoneOutput,3,3,0,0,3,1,3,1,3,1
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.internal.output,TcpServerOutput,18,73,1,5,2,22,2,7,1,5
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.SourceFilesElement,0,24,0,2,0,9,0,4,0,3
JaCoCo/org.jacoco.ant,org.jacoco.ant,InstrumentTask,0,151,0,6,0,35,0,9,0,6
JaCoCo/org.jacoco.ant,org.jacoco.ant,DumpTask.new ExecDumpClient() {...},6,23,0,0,2,3,1,2,1,2
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask.JavaLikeTaskEnhancer,0,71,0,2,0,18,0,5,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask,0,126,0,12,0,26,0,10,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.CSVFormatterElement,0,46,0,2,0,11,0,5,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask.TestNGTaskEnhancer,4,8,0,0,2,3,1,1,1,1
JaCoCo/org.jacoco.ant,org.jacoco.ant,AntResourcesLocator,0,60,0,4,0,17,0,6,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,MergeTask,0,134,0,6,0,33,0,9,0,6
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.GroupElement,0,39,0,0,0,11,0,5,0,5
JaCoCo/org.jacoco.ant,org.jacoco.ant,AntFilesLocator,0,34,0,2,0,9,0,4,0,3
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.HTMLFormatterElement,0,101,0,6,0,28,0,10,0,7
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.CheckFormatterElement,0,111,0,8,0,25,0,11,0,7
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.FormatterElement,0,7,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.ant,org.jacoco.ant,DumpTask,4,127,0,8,2,36,1,12,1,8
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask,0,450,1,33,0,90,1,31,0,15
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.XMLFormatterElement,0,46,0,2,0,11,0,5,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,AgentTask,0,36,0,6,0,8,0,6,0,3
JaCoCo/org.jacoco.ant,org.jacoco.ant,AbstractCoverageTask,9,140,0,4,2,47,0,22,0,20
JaCoCo/org.jacoco.examples,org.jacoco.examples,ExecutionDataServer.Handler,106,0,2,0,26,0,5,0,4,0
JaCoCo/org.jacoco.examples,org.jacoco.examples,ReportGenerator,133,0,2,0,28,0,7,0,6,0
JaCoCo/org.jacoco.examples,org.jacoco.examples,CoreTutorial.MemoryClassLoader,0,36,0,2,0,8,0,4,0,3
JaCoCo/org.jacoco.examples,org.jacoco.examples,CoreTutorial,6,218,0,8,2,42,1,10,1,5
JaCoCo/org.jacoco.examples,org.jacoco.examples,ExecDump,7,95,0,6,2,21,1,7,1,4
JaCoCo/org.jacoco.examples,org.jacoco.examples,ExecutionDataClient,50,0,0,0,14,0,2,0,2,0
JaCoCo/org.jacoco.examples,org.jacoco.examples,CoreTutorial.TestTarget,25,0,4,0,7,0,5,0,3,0
JaCoCo/org.jacoco.examples,org.jacoco.examples,ExecDump.new IExecutionDataVisitor() {...},0,42,0,0,0,3,0,2,0,2
JaCoCo/org.jacoco.examples,org.jacoco.examples,ClassInfo,7,136,0,2,2,15,1,4,1,3
JaCoCo/org.jacoco.examples,org.jacoco.examples,ExecDump.new ISessionInfoVisitor() {...},0,36,0,0,0,3,0,2,0,2
JaCoCo/org.jacoco.examples,org.jacoco.examples,MBeanClient,64,0,0,0,14,0,2,0,2,0
JaCoCo/org.jacoco.examples,org.jacoco.examples,ExecutionDataServer,32,0,0,0,7,0,2,0,2,0
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,ReportAggregateMojo,7,219,3,23,2,38,4,22,1,12
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,DumpMojo,7,51,1,1,2,11,1,2,0,2
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,ReportITMojo,7,65,2,2,2,14,3,9,1,9
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,RestoreMojo,7,25,0,0,2,6,0,2,0,2
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,AbstractJacocoMojo,1,25,0,2,1,10,1,6,1,5
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,ReportSupport.SourceFileCollection,3,65,3,5,2,12,3,4,0,3
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,CheckMojo,43,108,3,9,7,28,3,8,0,5
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,AgentMojo,0,6,0,0,0,2,0,2,0,2
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,FileFilter,0,48,0,2,0,12,0,7,0,6
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,AbstractAgentMojo,2,235,4,36,1,54,4,24,0,8
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,AgentITMojo,0,6,0,0,0,2,0,2,0,2
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,ReportSupport.NoSourceLocator,4,6,0,0,2,1,2,1,2,1
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,AbstractReportMojo,3,120,0,8,1,33,1,13,1,9
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,DumpMojo.new ExecDumpClient() {...},0,31,0,0,0,5,0,3,0,3
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,InstrumentMojo,21,112,1,5,4,25,1,4,0,2
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,ReportMojo,7,65,2,2,2,14,3,9,1,9
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,ReportSupport,10,341,4,14,2,64,4,19,0,14
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,RuleConfiguration,8,27,0,0,2,9,1,4,1,4
JaCoCo/jacoco-maven-plugin,org.jacoco.maven,MergeMojo,44,117,5,9,10,24,5,8,0,6
